Action,TVL,Reserve Ratio,Swap Volume of A,Swap Volume of B,Fees collected for A,Fees collected for B,Spot Price,Slippage,Trade Lot Fraction,LP1,LP2,LP3,LP4,LP5
2,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0
2,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0
1,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0
2,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0
2,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0
2,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0
0,7454000000,0.40248380129589634,0,0,0,0,0.40248380129589634,0,0,0,5874693183,0,0,0
1,6135683324,0.40248380136181944,0,0,0,0,0.40248380136181944,0,0,0,4835693183,0,0,0
0,8100609242,0.40248380134947737,0,0,0,0,0.40248380134947737,0,0,1548609725,4835693183,0,0,0
0,13582438616,0.4024838013382205,0,0,0,0,0.4024838013382205,0,0,1548609725,4835693183,0,4320373711,0
2,12461739260,0.3388053226515046,0,1522000000,0,4566000,0.3388053226515046,-8.526337485163403,0.09020182059430137,1548609725,4835693183,0,4320373711,0
2,12044498898,0.31649756756770075,0,2161000000,0,6483000,0.31649756756770075,-3.638126479394364,0.034745808214625,1548609725,4835693183,0,4320373711,0
0,13366192740,0.3164975675638477,0,2161000000,0,6483000,0.3164975675638477,0,0,1548609725,6010362655,0,4320373711,0
2,13481844744,0.32199830149982545,58000000,2161000000,174000,6483000,0.32199830149982545,-1.1552612987060034,0.008678611947054715,1548609725,6010362655,0,4320373711,0
0,13702735578,0.3219983014803477,58000000,2161000000,174000,6483000,0.3219983014803477,0,0,1548609725,6010362655,0,4515008697,0
0,16862182912,0.32199830147795744,58000000,2161000000,174000,6483000,0.32199830147795744,0,0,1548609725,6010362655,2783904506,4515008697,0
2,17117414918,0.33181983610739724,186000000,2161000000,558000,6483000,0.33181983610739724,-1.7865929402401965,0.015181901497333254,1548609725,6010362655,2783904506,4515008697,0
2,15772498418,0.2817260289476054,186000000,4367000000,558000,13101000,0.2817260289476054,-8.13343593410711,0.0855262972778888,1548609725,6010362655,2783904506,4515008697,0
2,15061707730,0.25690610250266477,186000000,5692000000,558000,17076000,0.25690610250266477,-4.792999733099279,0.04733390721784089,1548609725,6010362655,2783904506,4515008697,0
0,17002890240,0.2569061024949569,186000000,5692000000,558000,17076000,0.2569061024949569,0,0,1548609725,6010362655,2783904506,4515008697,1914913510
