Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 7, 6.96, 100
0, 2, 8.83, 100
0, 14, 8.23, 100
1, 13, 6.27, 100
1, 9, 8.17, 100
1, 12, 7.15, 100
1, 19, 6.50, 100
1, 2, 8.87, 100
1, 4, 7.31, 100
2, 10, 9.71, 100
2, 6, 3.78, 100
2, 16, 7.10, 100
3, 6, 8.13, 100
3, 12, 4.48, 100
3, 17, 9.56, 100
3, 19, 9.40, 100
4, 12, 2.60, 100
4, 15, 6.90, 100
5, 6, 3.52, 100
5, 7, 6.85, 100
5, 9, 4.97, 100
5, 12, 9.83, 100
5, 14, 7.86, 100
6, 11, 5.33, 100
6, 15, 9.94, 100
6, 10, 4.46, 100
7, 13, 1.69, 100
7, 10, 4.64, 100
8, 11, 2.48, 100
8, 17, 3.96, 100
8, 14, 1.80, 100
9, 15, 1.05, 100
10, 12, 4.15, 100
10, 14, 7.27, 100
11, 16, 3.54, 100
11, 15, 2.24, 100
11, 17, 6.29, 100
11, 18, 7.31, 100
12, 13, 6.34, 100
13, 16, 1.16, 100
13, 18, 8.24, 100
13, 14, 9.75, 100
14, 18, 1.70, 100
17, 18, 8.32, 100
18, 19, 9.37, 100
