BlockId, ParentId, creatorId, Arrival Time, Depth, Block-Size
be819d3af9721464f5b7dc5af7b91f3fea806ed5112e25d16fce17b5c4e3511d, -1, -1, 0.00, 0, 0
1fb4cbace65a7804d27b5211a0ea9aa675d84c396828d184a2d6dce22d8c1d0f, be819d3af9721464f5b7dc5af7b91f3fea806ed5112e25d16fce17b5c4e3511d, 23, 37.35, 1, 8
cbb1066cb415ee5cec243d1cce1973fe19c11d1fcd7f0ff562ffe49079d7a0c6, 1fb4cbace65a7804d27b5211a0ea9aa675d84c396828d184a2d6dce22d8c1d0f, 23, 39.12, 2, 8
b0eeb7b59497a8035d665c50eb5e7550a69c136a7fce5644c2a993484b38d950, cbb1066cb415ee5cec243d1cce1973fe19c11d1fcd7f0ff562ffe49079d7a0c6, 41, 42.55, 3, 56
0b0984cda0203786645e3379276d598bd16dcc89f0f4fd665017e48be162dc88, b0eeb7b59497a8035d665c50eb5e7550a69c136a7fce5644c2a993484b38d950, 39, 46.41, 4, 56
788e054cf4304e0dcbd6174d913dbf26d3eec13a274da537fd46efd0c584d9aa, 0b0984cda0203786645e3379276d598bd16dcc89f0f4fd665017e48be162dc88, 0, 58.42, 5, 120
043e2f488a2a34486f47d0c19842c2a01f7548df00b4dde385d038edabc7d609, 0b0984cda0203786645e3379276d598bd16dcc89f0f4fd665017e48be162dc88, 37, 58.46, 5, 88
fcf510d4ccdada4193e1345432d61c40113473ba64dccd7806cc44d006458021, 788e054cf4304e0dcbd6174d913dbf26d3eec13a274da537fd46efd0c584d9aa, 0, 69.80, 6, 240
6ed348b9912def308d33775c43a5247b31a84c999e70b39340a8eb5d8a0e5446, 043e2f488a2a34486f47d0c19842c2a01f7548df00b4dde385d038edabc7d609, 45, 69.83, 6, 248
80d96b9cebfdf23888bfc2a38d2f793127fcc06d34ab06404b988b9d1200dd44, fcf510d4ccdada4193e1345432d61c40113473ba64dccd7806cc44d006458021, 0, 69.89, 7, 480
1a45afbf613f92036cb32824512bdbb091c567487059f152377f076d5724e198, 80d96b9cebfdf23888bfc2a38d2f793127fcc06d34ab06404b988b9d1200dd44, 0, 147.72, 8, 288
99215baa47d21c87b6181926d72001cdf8930dc9bef674090d637762c4e9f34b, 80d96b9cebfdf23888bfc2a38d2f793127fcc06d34ab06404b988b9d1200dd44, 47, 147.80, 8, 376
079af672e2dbab2c21f18b97b4956752245116d3d7dbf94ce2587594e199e9fd, 1a45afbf613f92036cb32824512bdbb091c567487059f152377f076d5724e198, 0, 147.82, 9, 688
7b69cace12cc8c1089ea54a84a91b5f5f1acbde7a3307db903501ea5346aed54, 079af672e2dbab2c21f18b97b4956752245116d3d7dbf94ce2587594e199e9fd, 32, 155.49, 10, 1408
bd0c36df01bf15be55a0f4f01504f17f9f24cb654ee16f39bf1f015307d560f0, 7b69cace12cc8c1089ea54a84a91b5f5f1acbde7a3307db903501ea5346aed54, 48, 182.16, 11, 1536
bf8439b7a7a055d725195039e300c1965a291d94713ef8786c61f8348bef2f64, bd0c36df01bf15be55a0f4f01504f17f9f24cb654ee16f39bf1f015307d560f0, 42, 188.19, 12, 1640
da20322b57a3e769fa5225d6eabfd6f14b5e9ec4e91af5e2fa5b55066703181c, bd0c36df01bf15be55a0f4f01504f17f9f24cb654ee16f39bf1f015307d560f0, 0, 188.19, 12, 1648
b3d63af254b4daed3c3b8014e5ca716f6190607f7fc992bd5d2cd777b1d7c959, da20322b57a3e769fa5225d6eabfd6f14b5e9ec4e91af5e2fa5b55066703181c, 37, 203.80, 13, 1456
ac9e00be4d1ae203eb3b9bb5b72acdaffd284a5228d6670ab07460177a2f53d3, da20322b57a3e769fa5225d6eabfd6f14b5e9ec4e91af5e2fa5b55066703181c, 0, 203.96, 13, 1656
2f1959f013d403ff41cf9b78be19466ee5e1bfada97f6d2f15e3049fc77665db, b3d63af254b4daed3c3b8014e5ca716f6190607f7fc992bd5d2cd777b1d7c959, 23, 211.20, 14, 1472
4ba48561e6092a43b56afaa68550efd59fd4dc1f542dc81bda37d1b20a2ad901, ac9e00be4d1ae203eb3b9bb5b72acdaffd284a5228d6670ab07460177a2f53d3, 0, 211.56, 14, 1592
b4f293eef6dce41d2dd1b855b7b674b6e0968e8819b82722e75f03c3a76ee12e, 2f1959f013d403ff41cf9b78be19466ee5e1bfada97f6d2f15e3049fc77665db, 31, 231.25, 15, 1504
0b84850d438926faef1ceb37b7a1ce12e1678c70c40e2ed42541d8387fa73d8e, 4ba48561e6092a43b56afaa68550efd59fd4dc1f542dc81bda37d1b20a2ad901, 0, 231.29, 15, 1576
7c29c51f5e8a7f08f525552f057cd5ac605bee0109510f189845e632dc52c1ff, 0b84850d438926faef1ceb37b7a1ce12e1678c70c40e2ed42541d8387fa73d8e, 0, 256.69, 16, 1432
06354e503c40b4822727a00a810acf8df24a501366af80c460f24549e2236fca, b4f293eef6dce41d2dd1b855b7b674b6e0968e8819b82722e75f03c3a76ee12e, 38, 256.69, 16, 1712
9f7cad7c51af961b9da7386470c35a35d37da4a197c39c4a1ee006a12ecd6fb0, 7c29c51f5e8a7f08f525552f057cd5ac605bee0109510f189845e632dc52c1ff, 35, 308.17, 17, 1488
720df5ce9665f5ccbbd0691e8106c0492b584bcda9bc999069ec70b9a1970a6d, 9f7cad7c51af961b9da7386470c35a35d37da4a197c39c4a1ee006a12ecd6fb0, 41, 319.22, 18, 1640
b4009fd226a4d3205ba20ddb3136a21a4595e029fe35d23818fcc832be6e8a55, 9f7cad7c51af961b9da7386470c35a35d37da4a197c39c4a1ee006a12ecd6fb0, 31, 321.74, 18, 1680
49eed501ca1bc7fd6ebc1634fdac592b18e3321f5663aedf5847fc6b69864bb5, 720df5ce9665f5ccbbd0691e8106c0492b584bcda9bc999069ec70b9a1970a6d, 30, 327.76, 19, 1384
d9582438fe0cf1198253af67271ddfed2e726e3be42e83e6c66e1bf959c40508, 49eed501ca1bc7fd6ebc1634fdac592b18e3321f5663aedf5847fc6b69864bb5, 35, 352.37, 20, 1576
e8c8bb424d0299d768cf517fba835fa4be37a90180967ee276a3b9b592dc8cb0, d9582438fe0cf1198253af67271ddfed2e726e3be42e83e6c66e1bf959c40508, 47, 361.72, 21, 1392
ce2b82d02884609bf20070cd48d83bafd8f3556f8ddd069b81624cb353143f57, e8c8bb424d0299d768cf517fba835fa4be37a90180967ee276a3b9b592dc8cb0, 26, 459.24, 22, 1720
c2e8ebf7112c78e8c34a8447f2071f870b959f2899f5673821c54d5073652f16, ce2b82d02884609bf20070cd48d83bafd8f3556f8ddd069b81624cb353143f57, 35, 480.79, 23, 1552
f2ab815ddec37b7119fc07889eea45981ca154828219174c7ef23b6fca57b292, c2e8ebf7112c78e8c34a8447f2071f870b959f2899f5673821c54d5073652f16, 38, 491.78, 24, 1504
307506597ae665b91520499c9aeea7a251d2d3e4f8480c71b90483c0347e64f2, f2ab815ddec37b7119fc07889eea45981ca154828219174c7ef23b6fca57b292, 46, 543.84, 25, 1536
f34c3bd94f3411f3cbc45f28f0f01414b668216da10b37a4b00ce4eea2dbc307, 307506597ae665b91520499c9aeea7a251d2d3e4f8480c71b90483c0347e64f2, 20, 558.32, 26, 1680
39d2c022043e38182893c397af4b328a412953bc449a507470344d8a403b61e6, f34c3bd94f3411f3cbc45f28f0f01414b668216da10b37a4b00ce4eea2dbc307, 29, 562.64, 27, 1736
e8c6c1baa9360c8186af0ba8eff6a9d35b4039afe9f5e826297fe42a515849b8, 39d2c022043e38182893c397af4b328a412953bc449a507470344d8a403b61e6, 37, 585.49, 28, 1512
9f8a505e2a573d46ab2e84ce7eb3c87f4672b49a00bdd8adc98c1f0f6e185635, e8c6c1baa9360c8186af0ba8eff6a9d35b4039afe9f5e826297fe42a515849b8, 37, 604.92, 29, 1744
ac16e4e197af117dc82f0484ce7149734fc24fe753fce355aba505e2fc521f03, 9f8a505e2a573d46ab2e84ce7eb3c87f4672b49a00bdd8adc98c1f0f6e185635, 26, 646.38, 30, 1808
b58621dab6230bfc11d2b52dbbc3b469d1ff30cd7afead41a4a03e5e73fab089, 2222d891f6dab49f17f73955ac22a0427625123e60c8db1adc8116525224a46e, 0, 652.32, 22, 1528
2222d891f6dab49f17f73955ac22a0427625123e60c8db1adc8116525224a46e, 8696b678678ef3182b146dae528aace11b7ff08082c94a41dcc7fab23481a061, 0, 652.33, 21, 1560
17643621dee2e1d1d02527786fd72e9e8348f5ececb432a2bac8bc68f06d45a8, 7c29c51f5e8a7f08f525552f057cd5ac605bee0109510f189845e632dc52c1ff, 0, 652.33, 17, 1632
88bd7e81521b382cec6fb227e0a6246d2b7fc010029806e838b63f5fb091b12d, bbb01f38415a3c78fb25560182cdf9ea1da3d4e25bccf8e89e8f9ec434204c64, 0, 652.34, 24, 1448
8696b678678ef3182b146dae528aace11b7ff08082c94a41dcc7fab23481a061, 35ac070dfe8b584ae3683934446fb0c95613a1a9fe54319bc11ed7df5360c678, 0, 652.37, 20, 1696
ab284c0e8d6da24f3608c53dc7fbb1cf85147cdf18b90268872009692cf7d186, 050cda7675ce3fae85acdc67fd7aa054f542ce92665650d4820a1312602d0624, 0, 652.37, 30, 1752
bbb01f38415a3c78fb25560182cdf9ea1da3d4e25bccf8e89e8f9ec434204c64, b58621dab6230bfc11d2b52dbbc3b469d1ff30cd7afead41a4a03e5e73fab089, 0, 652.38, 23, 1480
2bc1ec5bf3ed8e7d73bceb78f5360f328e3768a871b281037352b6ba4ae6b74c, 88bd7e81521b382cec6fb227e0a6246d2b7fc010029806e838b63f5fb091b12d, 0, 652.38, 25, 1600
3acfa443062eb0adf9d45b64208475224ab172641604a037d5e4e6d147ee3b4d, 17643621dee2e1d1d02527786fd72e9e8348f5ececb432a2bac8bc68f06d45a8, 0, 652.40, 18, 1848
35ac070dfe8b584ae3683934446fb0c95613a1a9fe54319bc11ed7df5360c678, 3acfa443062eb0adf9d45b64208475224ab172641604a037d5e4e6d147ee3b4d, 0, 652.41, 19, 1688
98d00eba7fc7cadd914cc0d374b0121b04c70b5f5bc380ca626b9b6348a5bf3d, e579230d7f8b6483e0aa401011dc05bd5d0584e53e91cf5dc0ed3a9e3e9dc460, 0, 652.41, 28, 1936
