Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 42, 64.53, 5
0, 23, 196.78, 5
0, 45, 180.72, 5
0, 29, 213.22, 5
0, 14, 157.33, 100
1, 30, 62.33, 5
1, 10, 357.08, 100
1, 5, 381.43, 100
1, 32, 276.77, 5
1, 21, 23.14, 5
1, 8, 47.82, 100
2, 11, 74.37, 100
2, 49, 402.14, 5
2, 20, 152.61, 5
3, 21, 358.89, 5
3, 10, 451.56, 100
3, 29, 428.99, 5
4, 44, 469.54, 5
4, 5, 97.81, 100
4, 11, 216.85, 100
4, 9, 314.65, 100
4, 32, 263.46, 5
4, 18, 263.00, 5
5, 44, 366.82, 5
5, 47, 228.41, 5
6, 29, 384.96, 5
6, 22, 112.75, 5
6, 46, 175.94, 5
6, 41, 33.57, 5
7, 47, 148.52, 5
7, 36, 74.09, 5
7, 40, 66.07, 5
7, 27, 319.15, 5
7, 30, 281.38, 5
7, 45, 23.80, 5
8, 35, 17.57, 5
8, 38, 231.69, 5
8, 11, 467.84, 100
8, 44, 154.31, 5
9, 17, 257.67, 5
9, 35, 165.81, 5
9, 20, 32.87, 5
10, 35, 423.85, 5
10, 17, 295.91, 5
10, 32, 169.60, 5
10, 42, 70.84, 5
11, 38, 41.03, 5
11, 44, 370.91, 5
11, 16, 452.87, 5
12, 14, 234.05, 100
12, 20, 176.02, 5
12, 26, 289.60, 5
12, 22, 102.25, 5
12, 24, 254.04, 5
12, 29, 222.77, 5
13, 30, 212.13, 5
13, 19, 253.00, 5
13, 37, 22.59, 5
13, 48, 344.15, 5
13, 43, 66.53, 5
13, 29, 309.16, 5
14, 41, 449.81, 5
14, 15, 429.01, 5
14, 45, 67.08, 5
15, 27, 226.40, 5
15, 17, 295.36, 5
15, 39, 277.33, 5
15, 22, 25.74, 5
15, 34, 37.58, 5
16, 24, 439.80, 5
16, 35, 338.73, 5
17, 49, 470.25, 5
17, 27, 442.63, 5
17, 22, 235.01, 5
18, 30, 249.06, 5
18, 45, 443.65, 5
19, 20, 386.93, 5
19, 25, 299.07, 5
20, 38, 498.00, 5
20, 47, 302.24, 5
21, 45, 237.86, 5
21, 23, 406.19, 5
22, 49, 422.86, 5
22, 27, 457.83, 5
23, 37, 93.65, 5
24, 48, 345.42, 5
24, 32, 418.89, 5
24, 35, 80.52, 5
25, 41, 229.45, 5
25, 33, 106.15, 5
26, 31, 196.73, 5
26, 43, 246.24, 5
26, 34, 314.46, 5
26, 41, 55.84, 5
27, 46, 306.29, 5
28, 40, 230.02, 5
28, 39, 16.20, 5
28, 29, 124.31, 5
31, 46, 262.29, 5
31, 49, 234.90, 5
32, 36, 189.98, 5
33, 48, 484.24, 5
33, 36, 442.17, 5
34, 40, 452.89, 5
34, 39, 48.36, 5
35, 37, 98.33, 5
37, 42, 449.30, 5
38, 48, 365.78, 5
38, 41, 315.15, 5
41, 47, 452.51, 5
43, 45, 116.56, 5
43, 46, 340.88, 5
44, 46, 170.34, 5
