Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 4, 7.28, 100
0, 5, 5.93, 100
0, 6, 1.49, 100
0, 2, 2.78, 100
1, 7, 9.87, 100
1, 2, 7.58, 100
1, 8, 3.64, 100
2, 11, 7.10, 100
2, 9, 6.52, 100
2, 4, 8.21, 100
3, 4, 4.69, 100
3, 6, 2.12, 100
3, 12, 5.48, 100
3, 11, 9.28, 100
3, 8, 2.91, 100
3, 14, 7.03, 100
4, 14, 9.41, 100
5, 6, 9.57, 100
5, 8, 7.34, 100
5, 7, 9.67, 100
6, 7, 5.46, 100
6, 9, 6.96, 100
6, 14, 9.93, 100
7, 10, 1.54, 100
7, 9, 2.07, 100
7, 11, 5.72, 100
8, 14, 4.75, 100
8, 9, 1.28, 100
9, 10, 7.02, 100
9, 13, 4.83, 100
10, 13, 3.16, 100
10, 12, 4.53, 100
12, 14, 3.96, 100
13, 14, 6.25, 100
