BlockId, ParentId, creatorId, Arrival Time, Depth, Block-Size
be819d3af9721464f5b7dc5af7b91f3fea806ed5112e25d16fce17b5c4e3511d, -1, -1, 0.00, 0, 0
8d80b265a1c1b2a2daf6edf7145b52ff748cb2ace9598422cacf3dc3170a5d84, be819d3af9721464f5b7dc5af7b91f3fea806ed5112e25d16fce17b5c4e3511d, 39, 9.89, 1, 8
54a061e4b1e368ea376e2e306027eefd8a99c874d89f1e720293994ffc99e0d9, 8d80b265a1c1b2a2daf6edf7145b52ff748cb2ace9598422cacf3dc3170a5d84, 41, 23.53, 2, 24
e27f5e2d407a4888c425ac4173715caa575d5b2dea1d74506498b150d7642fda, c09ec654559b98a8d7054c7e3f0251e4bc39b231248453caa22810ee653086d3, 0, 24.52, 3, 8
c09ec654559b98a8d7054c7e3f0251e4bc39b231248453caa22810ee653086d3, 8d80b265a1c1b2a2daf6edf7145b52ff748cb2ace9598422cacf3dc3170a5d84, 0, 24.53, 2, 24
7c3b550d2593c73267ea4694b5589c1975cdfcdb61a4d03d0a68f1cb0099f255, e27f5e2d407a4888c425ac4173715caa575d5b2dea1d74506498b150d7642fda, 30, 78.51, 4, 40
df3fcc3049cbd5725edbfaf1c60ab661c38e7a535adb9a4ca8a48e07cf95c067, 7c3b550d2593c73267ea4694b5589c1975cdfcdb61a4d03d0a68f1cb0099f255, 35, 99.91, 5, 96
d653df12c3c80d78c7a1c68843ea52eafea4b310c619614d9072f435f50259dc, df3fcc3049cbd5725edbfaf1c60ab661c38e7a535adb9a4ca8a48e07cf95c067, 42, 108.61, 6, 272
8f2ceeecaec6f1d9b0f6c0320e9aa89133c942b6eaae69ca3e50b0a5bf5b9ecd, d653df12c3c80d78c7a1c68843ea52eafea4b310c619614d9072f435f50259dc, 25, 113.37, 7, 304
573929731935aeebac42ce913766c14ef4d023697011d46f6e0e56ad86b9a696, 8f2ceeecaec6f1d9b0f6c0320e9aa89133c942b6eaae69ca3e50b0a5bf5b9ecd, 15, 117.11, 8, 856
d659af79760dd3c932391516209cd5c6454f4093aaa30726584c3ad16fa7a671, 573929731935aeebac42ce913766c14ef4d023697011d46f6e0e56ad86b9a696, 32, 123.90, 9, 1176
7d859268234d33fb4a6271453fb198307e87e3a54948e31d303c79bb1f4a0b9f, d659af79760dd3c932391516209cd5c6454f4093aaa30726584c3ad16fa7a671, 29, 133.98, 10, 1496
7c1c1458bde3b3a7251e01a4224d10c9a178653207e95195ce79417cbbbccf72, 7d859268234d33fb4a6271453fb198307e87e3a54948e31d303c79bb1f4a0b9f, 35, 134.89, 11, 1408
3a2676a09de61830d803b708fea8f1b3435e5ca7186b869d8538611cb53e37f8, 7c1c1458bde3b3a7251e01a4224d10c9a178653207e95195ce79417cbbbccf72, 40, 162.53, 12, 1272
dcd1c583a2b3e90e3e33539548350eab10b479071a33df96e8b8ce19d705dfb3, 7c1c1458bde3b3a7251e01a4224d10c9a178653207e95195ce79417cbbbccf72, 0, 162.63, 12, 1256
8d57ece97baf1e3c168637f03fcdfb50e7ebf3811658b16b089658d519606296, 3a2676a09de61830d803b708fea8f1b3435e5ca7186b869d8538611cb53e37f8, 24, 178.95, 13, 1488
a5dd285cc127917ac9c88f257989b35b5058f1b0ed811cc29d011dffb259c408, dcd1c583a2b3e90e3e33539548350eab10b479071a33df96e8b8ce19d705dfb3, 0, 180.34, 13, 1624
7ad43443c681d0a098aae8a8a56699cf4f500c32a914f16ce82d9050b0cd64ff, 8d57ece97baf1e3c168637f03fcdfb50e7ebf3811658b16b089658d519606296, 16, 196.30, 14, 1440
33962f524900e3570b451350635b5c5f21823dfbf7c91159c18f099402285234, 8d57ece97baf1e3c168637f03fcdfb50e7ebf3811658b16b089658d519606296, 42, 196.32, 14, 1424
4bd740f2e431b685912411aaef80df6124874ecf914ff15cadce730455b70612, a5dd285cc127917ac9c88f257989b35b5058f1b0ed811cc29d011dffb259c408, 0, 196.40, 14, 1392
909ad4415a2d56c8391ff3a6f8c517fe69d40beee334d4092b5dcfe9c3f97137, 33962f524900e3570b451350635b5c5f21823dfbf7c91159c18f099402285234, 24, 209.38, 15, 1416
f3c60c6e5fa220a7fd0383958e7f628700a66165e0644fda4fbf4a630bcbf76b, 4bd740f2e431b685912411aaef80df6124874ecf914ff15cadce730455b70612, 0, 210.89, 15, 1472
d9506cda960bf06c444b18992ce14fe6fe22fdc940c99a4ab20b9e01df5cbf75, 909ad4415a2d56c8391ff3a6f8c517fe69d40beee334d4092b5dcfe9c3f97137, 25, 221.80, 16, 1272
e43d544517ce130395b8295fd96a921b9aea65bcc16740d87d53702a355c7c0d, f3c60c6e5fa220a7fd0383958e7f628700a66165e0644fda4fbf4a630bcbf76b, 0, 221.94, 16, 1472
3e899ec6537b0dcb9a60fe70d800a739a2768c5a7c3524648e421ef6ee2e928c, d9506cda960bf06c444b18992ce14fe6fe22fdc940c99a4ab20b9e01df5cbf75, 29, 237.69, 17, 1496
be0f27f3c7061f5d9167f522a4c847369a11ed3cc8d77d8222cdb86808414c98, 3e899ec6537b0dcb9a60fe70d800a739a2768c5a7c3524648e421ef6ee2e928c, 32, 258.99, 18, 1328
314989f1ea5824e8fe3c824f9c04744c9f361bbdd629a17ad393a2cdf6119134, 3e899ec6537b0dcb9a60fe70d800a739a2768c5a7c3524648e421ef6ee2e928c, 0, 259.07, 18, 1272
b081ca2fa8f251300f766ca4eef1d6097137e63ed5731b5174be3314267e7b7e, 314989f1ea5824e8fe3c824f9c04744c9f361bbdd629a17ad393a2cdf6119134, 0, 259.12, 19, 1496
a0f752102cd346aefc78b8107935d12feed54ec915e4292cbf7b70a68bd50cbe, b081ca2fa8f251300f766ca4eef1d6097137e63ed5731b5174be3314267e7b7e, 38, 299.78, 20, 1472
587fb833c34bfd705b409e8cf92b296478d57340c2da45e9705f41a280a7abfb, f2d4c573c68dab2bcd6d4505db4b7faf7f022e859416d674c355dd8a26e9f278, 0, 299.81, 21, 1512
f2d4c573c68dab2bcd6d4505db4b7faf7f022e859416d674c355dd8a26e9f278, b081ca2fa8f251300f766ca4eef1d6097137e63ed5731b5174be3314267e7b7e, 0, 299.82, 20, 1488
f0036cd5bb243ff1c110b38f552ae68f772bdf70ef6d207058a24dd940323ce9, 587fb833c34bfd705b409e8cf92b296478d57340c2da45e9705f41a280a7abfb, 35, 302.26, 22, 1600
1ab4f7027c7aa13784878253e5cbad54ed8752a97abf4e9828dd6d7bdc2edeaf, 09f74c590cc93e3af58947a81252d7fdef50a3630783ef6145689d5f36c2d8f4, 0, 328.07, 24, 1344
3856b179174db4c637d393f56eab040c288667004f587ca105c782c48700e1bc, f0036cd5bb243ff1c110b38f552ae68f772bdf70ef6d207058a24dd940323ce9, 40, 328.15, 23, 1512
09f74c590cc93e3af58947a81252d7fdef50a3630783ef6145689d5f36c2d8f4, f0036cd5bb243ff1c110b38f552ae68f772bdf70ef6d207058a24dd940323ce9, 0, 328.19, 23, 1512
d00c7edee001ff5fa9d211b3c52dc5232178ab0ae31f864cefac7a420c603ccb, 1ab4f7027c7aa13784878253e5cbad54ed8752a97abf4e9828dd6d7bdc2edeaf, 36, 332.16, 25, 1512
0bb79ae68b0ac948d379ada262b9fbcac705ab3abb027b9ef1e40e092eef67c3, d00c7edee001ff5fa9d211b3c52dc5232178ab0ae31f864cefac7a420c603ccb, 16, 334.99, 26, 1440
13ec42167e74b381fd0d1fac72753b1a534d3042c4397e1e6e460cdbe8723839, d00c7edee001ff5fa9d211b3c52dc5232178ab0ae31f864cefac7a420c603ccb, 0, 336.19, 26, 1464
45b502fd1e1f8d4a4f27f115014ecb8e61a3083cc0d9406e71ac5e7bff8f7e50, 13ec42167e74b381fd0d1fac72753b1a534d3042c4397e1e6e460cdbe8723839, 43, 339.76, 27, 1400
cb9bf04ece2a92e83288170b19b4397d0bec60d9ac3a9b36c683871a0db2261b, 45b502fd1e1f8d4a4f27f115014ecb8e61a3083cc0d9406e71ac5e7bff8f7e50, 43, 357.19, 28, 1496
dc9bb81ee3571794c12222bd30cfbd4bff2e0a0966f8b1d162009dcd2c6d61cf, cb9bf04ece2a92e83288170b19b4397d0bec60d9ac3a9b36c683871a0db2261b, 39, 387.68, 29, 1392
f8a767c3bb5717b12c4ae849f186f20bc77e251b390e9c5944d683ad3f465e32, cb9bf04ece2a92e83288170b19b4397d0bec60d9ac3a9b36c683871a0db2261b, 0, 387.99, 29, 1432
60d0922e689a1d9bfd3b9d2fd0b2f227287ffdadd35de1bfdd86457299ce2356, dc9bb81ee3571794c12222bd30cfbd4bff2e0a0966f8b1d162009dcd2c6d61cf, 25, 392.88, 30, 1664
129534a95c0a11c4a2d236b7824a3056ac31692c971927922af9c7d35a87281f, 60d0922e689a1d9bfd3b9d2fd0b2f227287ffdadd35de1bfdd86457299ce2356, 44, 400.25, 31, 1664
2e59128fda627d3524da16a6df80c898fd5986e4e72913bbe39b362c644d3be9, 129534a95c0a11c4a2d236b7824a3056ac31692c971927922af9c7d35a87281f, 37, 404.08, 32, 1624
1dd8528fa98818e7550ab07d881802f4fa0213fcf478e1502d66870699e8a6b1, 129534a95c0a11c4a2d236b7824a3056ac31692c971927922af9c7d35a87281f, 0, 407.12, 32, 1664
037b4bce4744d44472ded8169ed77a625544a2e9d4045325f7a0b434559885da, 1dd8528fa98818e7550ab07d881802f4fa0213fcf478e1502d66870699e8a6b1, 36, 414.37, 33, 1576
ad6bf724a165965bde3392add6043eeebe85aa4abc2e0eef5773151638a3278f, 037b4bce4744d44472ded8169ed77a625544a2e9d4045325f7a0b434559885da, 31, 450.80, 34, 1672
617a9a1536d35111053e808161bc03ba5f6db3d6602b6769de6846d47dccc906, 037b4bce4744d44472ded8169ed77a625544a2e9d4045325f7a0b434559885da, 0, 453.45, 34, 1672
a87accf554bc428c969cff98888d36c5b1876d1863968b0b0faf310b5124f145, ad6bf724a165965bde3392add6043eeebe85aa4abc2e0eef5773151638a3278f, 18, 494.79, 35, 1744
5d25f48185f2c07968ff5f2a3d6c8dfb4ed114a8ce5edb269000d27d28b0b3a4, 7437d7979fd4e3a8a5fba50d3acd1e1edbc58d4322620a68242ea66d1892fd69, 0, 494.81, 36, 1840
7437d7979fd4e3a8a5fba50d3acd1e1edbc58d4322620a68242ea66d1892fd69, 617a9a1536d35111053e808161bc03ba5f6db3d6602b6769de6846d47dccc906, 0, 494.82, 35, 1632
ac76b9a9f4ea7e43b3adf04fe1dae1339a1ece5ecff72feb0b93f6fea5c4b5ef, 5d25f48185f2c07968ff5f2a3d6c8dfb4ed114a8ce5edb269000d27d28b0b3a4, 26, 499.21, 37, 1864
dcb4f321366e0e7e8dbf5202275be63cc3db4e51d7e4c555846c452580542a36, ac76b9a9f4ea7e43b3adf04fe1dae1339a1ece5ecff72feb0b93f6fea5c4b5ef, 40, 500.59, 38, 1648
ce93ae27c2d68a6239a73b86ae1b944acc75b7164974124ef94e64545b00deed, dcb4f321366e0e7e8dbf5202275be63cc3db4e51d7e4c555846c452580542a36, 41, 523.31, 39, 1512
530f18f3a0cfda7eacdff405b357fb9aa7c113b6c49b3b1e3b5f7ad70caebd14, dcb4f321366e0e7e8dbf5202275be63cc3db4e51d7e4c555846c452580542a36, 0, 524.08, 39, 1432
4372d50cbe5917e761bf141804ea63e4a860f1cfd34072f3e91c4893f10f5c2a, ce93ae27c2d68a6239a73b86ae1b944acc75b7164974124ef94e64545b00deed, 39, 529.25, 40, 1512
63b6a6e2f81f63166a1334ca91a2cd7b88a6b04cf12ef8fad5f10e9ff78abbc0, 4372d50cbe5917e761bf141804ea63e4a860f1cfd34072f3e91c4893f10f5c2a, 41, 586.91, 41, 1680
31bf841ee493afc1129f9d0f497a468bb436384d8372f9e8951172493eca946e, 138246be8b80e8aeb3b8c8df20380b0fbd6fcfdbaaa08d6082d3b6db2709e8e6, 0, 591.55, 43, 1656
138246be8b80e8aeb3b8c8df20380b0fbd6fcfdbaaa08d6082d3b6db2709e8e6, 2bc670b438abf03673a9362ba6c72e86fe92565d703b148a6ab9463094e75aa4, 0, 591.56, 42, 1640
2bc670b438abf03673a9362ba6c72e86fe92565d703b148a6ab9463094e75aa4, 4372d50cbe5917e761bf141804ea63e4a860f1cfd34072f3e91c4893f10f5c2a, 0, 591.57, 41, 1592
767ebab770f5ed196fd2872632c1852a7aafcacb1cfe9e3c984f587153bfeb27, 63b6a6e2f81f63166a1334ca91a2cd7b88a6b04cf12ef8fad5f10e9ff78abbc0, 48, 591.72, 42, 2072
a17730cf226e2c54da08d421311380526c761dc346fa9f8bb72bc35f9b0c319f, 31bf841ee493afc1129f9d0f497a468bb436384d8372f9e8951172493eca946e, 0, 599.27, 44, 2040
18db0db25ed21e4ee8058b0235a28c551aff1b9ab4d63df31dca18c71cba0482, 31bf841ee493afc1129f9d0f497a468bb436384d8372f9e8951172493eca946e, 22, 599.38, 44, 2144
62d22422a3bbee750020dc23fb446a61fca9481a3459492877e945582c75b48b, a17730cf226e2c54da08d421311380526c761dc346fa9f8bb72bc35f9b0c319f, 16, 600.24, 45, 1864
8e2942fa8011e810e775d6c983106701c13c38c5cc8158410c2c9002a78c1b93, 62d22422a3bbee750020dc23fb446a61fca9481a3459492877e945582c75b48b, 44, 622.70, 46, 1344
6264ca74b61d502591b8eb2d680bf4444cc41bc0b084d5428ffa16ad2591906e, 8e2942fa8011e810e775d6c983106701c13c38c5cc8158410c2c9002a78c1b93, 44, 624.20, 47, 1616
