Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 8, 6.59, 100
0, 12, 2.96, 100
0, 13, 6.30, 100
1, 10, 8.53, 100
1, 6, 4.10, 100
1, 5, 8.72, 100
2, 4, 2.70, 100
2, 10, 4.12, 100
2, 7, 7.60, 100
3, 7, 5.14, 100
3, 11, 6.51, 100
3, 10, 1.03, 100
3, 12, 7.57, 100
3, 8, 4.41, 100
3, 4, 1.46, 100
4, 12, 4.27, 100
4, 6, 5.45, 100
4, 14, 4.41, 100
4, 11, 4.31, 100
5, 12, 6.29, 100
5, 13, 5.91, 100
5, 9, 7.40, 100
6, 11, 4.72, 100
7, 12, 9.31, 100
7, 8, 5.89, 100
8, 9, 5.92, 100
8, 13, 6.43, 100
8, 14, 2.04, 100
9, 11, 1.70, 100
9, 14, 8.02, 100
9, 13, 4.56, 100
11, 14, 5.90, 100
11, 13, 5.03, 100
12, 14, 4.52, 100
