Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 7, 2.82, 100
0, 3, 8.05, 100
0, 5, 4.21, 100
1, 10, 8.91, 100
1, 9, 6.44, 100
1, 5, 6.70, 100
1, 7, 8.76, 100
1, 12, 2.92, 100
2, 4, 2.01, 100
2, 6, 5.05, 100
2, 8, 8.64, 100
3, 14, 9.26, 100
3, 11, 9.26, 100
3, 9, 8.90, 100
3, 12, 2.12, 100
3, 13, 7.02, 100
4, 6, 5.25, 100
4, 10, 5.01, 100
4, 13, 1.03, 100
5, 13, 2.52, 100
5, 12, 9.68, 100
5, 6, 3.75, 100
7, 8, 4.73, 100
7, 12, 5.54, 100
7, 14, 5.48, 100
8, 11, 5.36, 100
8, 12, 2.42, 100
9, 14, 6.00, 100
9, 13, 5.63, 100
9, 11, 2.89, 100
10, 14, 8.55, 100
11, 14, 5.52, 100
11, 13, 2.94, 100
12, 13, 1.66, 100
