Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 35, 342.20, 5
0, 15, 495.06, 5
0, 41, 111.41, 5
0, 39, 461.34, 5
0, 9, 416.79, 100
1, 32, 340.36, 5
1, 10, 387.06, 5
1, 11, 295.35, 5
1, 45, 180.73, 5
1, 16, 492.85, 5
2, 3, 305.24, 100
2, 14, 37.84, 5
2, 10, 375.11, 5
2, 21, 18.19, 5
2, 36, 133.10, 5
3, 37, 314.00, 5
3, 31, 321.71, 5
3, 34, 390.20, 5
3, 41, 113.62, 5
4, 44, 165.59, 5
4, 42, 395.47, 5
4, 11, 146.60, 5
4, 47, 473.64, 5
4, 12, 29.20, 5
5, 21, 57.31, 5
5, 9, 418.57, 100
5, 14, 132.28, 5
6, 22, 143.08, 5
6, 12, 477.06, 5
6, 45, 479.15, 5
6, 18, 141.44, 5
6, 24, 226.45, 5
7, 47, 433.55, 5
7, 37, 331.29, 5
7, 28, 490.38, 5
7, 46, 64.51, 5
7, 35, 38.27, 5
7, 31, 250.15, 5
8, 23, 238.89, 5
8, 40, 279.50, 5
8, 47, 352.83, 5
9, 28, 285.15, 5
9, 44, 385.45, 5
10, 37, 109.96, 5
10, 49, 260.14, 5
10, 13, 70.05, 5
10, 20, 66.89, 5
11, 13, 128.62, 5
11, 25, 22.80, 5
12, 25, 152.69, 5
12, 28, 477.20, 5
12, 33, 36.88, 5
12, 40, 33.81, 5
13, 24, 25.79, 5
13, 42, 397.02, 5
13, 19, 71.28, 5
13, 39, 377.26, 5
14, 42, 184.53, 5
14, 29, 289.05, 5
14, 32, 18.54, 5
15, 43, 29.73, 5
15, 21, 271.97, 5
15, 33, 471.22, 5
15, 38, 98.89, 5
16, 37, 151.69, 5
16, 25, 354.83, 5
16, 21, 388.11, 5
17, 31, 185.96, 5
17, 20, 271.43, 5
17, 39, 14.94, 5
18, 48, 456.24, 5
18, 37, 286.76, 5
19, 45, 443.78, 5
19, 48, 168.38, 5
20, 22, 123.61, 5
20, 29, 326.60, 5
20, 24, 237.50, 5
20, 34, 102.66, 5
21, 31, 141.65, 5
21, 42, 420.47, 5
22, 38, 410.09, 5
22, 45, 393.26, 5
22, 35, 289.01, 5
23, 38, 367.29, 5
23, 48, 396.18, 5
24, 47, 53.35, 5
24, 27, 51.04, 5
24, 39, 313.91, 5
25, 38, 463.17, 5
25, 26, 176.39, 5
26, 33, 125.16, 5
26, 36, 125.11, 5
26, 44, 313.09, 5
27, 35, 337.54, 5
27, 45, 144.06, 5
28, 32, 184.50, 5
29, 40, 409.47, 5
30, 41, 199.08, 5
30, 32, 229.40, 5
30, 39, 477.74, 5
30, 42, 34.23, 5
31, 49, 35.43, 5
31, 35, 387.83, 5
33, 38, 13.92, 5
34, 42, 496.18, 5
34, 49, 18.72, 5
35, 40, 437.10, 5
36, 40, 399.06, 5
39, 47, 156.81, 5
40, 48, 241.67, 5
41, 45, 128.24, 5
41, 44, 102.43, 5
43, 47, 12.03, 5
43, 46, 163.52, 5
46, 49, 299.58, 5
