Peer 1, Peer 2, Propagation-Delay, Link-Speed
0, 41, 428.42, 5
0, 36, 394.33, 5
0, 16, 60.24, 5
1, 32, 443.72, 5
1, 15, 485.03, 5
1, 9, 241.06, 100
2, 11, 48.39, 5
2, 10, 52.22, 5
2, 12, 472.81, 5
2, 13, 243.25, 5
3, 5, 132.15, 100
3, 15, 233.90, 5
3, 36, 79.54, 5
3, 46, 224.68, 5
3, 24, 176.51, 5
3, 19, 344.24, 5
4, 38, 158.94, 5
4, 32, 484.43, 5
4, 28, 364.20, 5
5, 45, 86.18, 5
5, 43, 472.20, 5
5, 47, 56.40, 5
5, 29, 18.15, 5
5, 33, 118.05, 5
6, 12, 390.18, 5
6, 22, 79.54, 5
6, 10, 221.97, 5
6, 21, 36.68, 5
6, 45, 136.25, 5
7, 24, 423.43, 5
7, 13, 246.94, 5
7, 35, 127.79, 5
8, 37, 374.36, 5
8, 30, 444.54, 5
8, 47, 193.12, 5
8, 44, 176.56, 5
9, 24, 169.86, 5
9, 42, 311.93, 5
9, 44, 184.24, 5
9, 33, 160.33, 5
9, 29, 265.89, 5
10, 14, 229.25, 5
10, 15, 26.80, 5
10, 18, 433.79, 5
11, 37, 221.88, 5
11, 27, 206.12, 5
11, 21, 150.28, 5
12, 28, 165.67, 5
12, 14, 211.17, 5
13, 27, 418.69, 5
13, 30, 50.44, 5
13, 34, 115.94, 5
13, 22, 281.71, 5
14, 23, 131.79, 5
14, 26, 156.52, 5
14, 43, 145.94, 5
15, 44, 198.83, 5
15, 34, 410.64, 5
16, 23, 470.98, 5
16, 40, 429.31, 5
16, 42, 256.69, 5
17, 48, 46.07, 5
17, 37, 170.67, 5
17, 31, 171.08, 5
18, 35, 80.54, 5
18, 32, 209.81, 5
18, 21, 407.56, 5
18, 36, 463.42, 5
18, 28, 146.20, 5
19, 49, 442.73, 5
19, 30, 258.07, 5
20, 49, 152.53, 5
20, 25, 461.15, 5
20, 45, 155.94, 5
21, 32, 178.08, 5
21, 46, 314.45, 5
21, 39, 223.07, 5
22, 33, 86.13, 5
22, 24, 440.40, 5
23, 48, 416.70, 5
24, 39, 273.84, 5
24, 46, 236.59, 5
25, 49, 26.38, 5
25, 38, 285.27, 5
25, 41, 445.63, 5
26, 48, 75.69, 5
26, 40, 133.94, 5
27, 38, 412.83, 5
27, 30, 338.76, 5
29, 34, 283.61, 5
29, 47, 310.67, 5
29, 31, 374.83, 5
29, 39, 37.80, 5
30, 32, 299.22, 5
31, 42, 441.33, 5
31, 36, 75.76, 5
32, 49, 455.96, 5
34, 43, 137.18, 5
34, 49, 113.48, 5
34, 38, 330.25, 5
35, 38, 128.64, 5
36, 40, 19.44, 5
38, 40, 367.69, 5
41, 48, 419.41, 5
42, 48, 210.51, 5
43, 46, 306.22, 5
44, 48, 394.92, 5
44, 47, 338.82, 5
45, 47, 173.64, 5
47, 49, 490.13, 5
