BlockId, ParentId, creatorId, Arrival Time, Depth, Block-Size
be819d3af9721464f5b7dc5af7b91f3fea806ed5112e25d16fce17b5c4e3511d, -1, -1, 0.00, 0, 0
3a666dbbb73c9aa314952f17b19f00ec0ca30148dfbb0655b0d66568afd93c08, be819d3af9721464f5b7dc5af7b91f3fea806ed5112e25d16fce17b5c4e3511d, 25, 18.39, 1, 8
c134b35c58de5d6e4e0d80c93b9d9d719ce2e163e7d0fc0f283436286dcb5150, be819d3af9721464f5b7dc5af7b91f3fea806ed5112e25d16fce17b5c4e3511d, 0, 19.31, 1, 8
d68e50bb2e82275fa1f1f28d49a8a6f4657709409786d4da56967e02c04a5836, 3a666dbbb73c9aa314952f17b19f00ec0ca30148dfbb0655b0d66568afd93c08, 15, 36.87, 2, 40
23b1a2bc38714b0052669e0304c60a43910a98f2a1b3394bf642810944404ed8, c134b35c58de5d6e4e0d80c93b9d9d719ce2e163e7d0fc0f283436286dcb5150, 10, 39.19, 2, 56
44472ec029251c1d0b1ce04e7bfa1f402a4590e0d10ca15be8bbc129490ba8fe, d68e50bb2e82275fa1f1f28d49a8a6f4657709409786d4da56967e02c04a5836, 7, 51.31, 3, 112
3a6b9d9d6487e3886b9cc5d6eccf7462366ad3b78fabcbf97a5d8ccb10c24eb6, 44472ec029251c1d0b1ce04e7bfa1f402a4590e0d10ca15be8bbc129490ba8fe, 47, 55.30, 4, 24
91fc44411c1edfd6b928bc9b87524e5c4350ef5e154064ccf44800fa6c81fa92, 3a6b9d9d6487e3886b9cc5d6eccf7462366ad3b78fabcbf97a5d8ccb10c24eb6, 0, 65.13, 5, 496
41c5877619fd068c32c87ced27e27fc386023342783e11543654d6d738aebd03, d68e50bb2e82275fa1f1f28d49a8a6f4657709409786d4da56967e02c04a5836, 23, 66.70, 3, 136
d46a69ddcae9074994e175c301a5fc86059314490fd932f20fbd24be2b2bb5b1, 91fc44411c1edfd6b928bc9b87524e5c4350ef5e154064ccf44800fa6c81fa92, 48, 71.04, 6, 800
6a75ac87e02308cf5d3594b14e9238db7d9b7c83d278cfbe34575008c78724a0, d46a69ddcae9074994e175c301a5fc86059314490fd932f20fbd24be2b2bb5b1, 25, 77.19, 7, 976
48a2cfc9939d1102a9f9c20005f249933699b46154b2d7c8c804916c65916897, d46a69ddcae9074994e175c301a5fc86059314490fd932f20fbd24be2b2bb5b1, 15, 79.05, 7, 1040
ed0a03d2e371ddcc89157dbab224dd6358dd3de24d0578dd9b4b25b84e740648, 6a75ac87e02308cf5d3594b14e9238db7d9b7c83d278cfbe34575008c78724a0, 18, 80.99, 8, 1360
d87d7e3f00e0ccd847e6f5d647970ca60620f948cb272e57ab2826cb1c4ef163, 6a75ac87e02308cf5d3594b14e9238db7d9b7c83d278cfbe34575008c78724a0, 19, 81.94, 8, 1336
b8060fe0b7f9abe9845c6c9ab7ece3b53947aa253eb5fe6e84613d65848d29ef, ed0a03d2e371ddcc89157dbab224dd6358dd3de24d0578dd9b4b25b84e740648, 10, 105.75, 9, 1088
2cd228d8d1ded22f47b5867fefc8f12ad892042653a57206e3d37aa8974d0f9b, ed0a03d2e371ddcc89157dbab224dd6358dd3de24d0578dd9b4b25b84e740648, 6, 108.43, 9, 1464
d7f475e0299393e3b9ae64d7b8748cac5dcd7b9799817e88667fec447ac3f153, b8060fe0b7f9abe9845c6c9ab7ece3b53947aa253eb5fe6e84613d65848d29ef, 22, 109.34, 10, 1280
3dcf6ce2e01f61cb2e15d193a90f9079f83a245191f00ca4699a0dbbc682f444, d7f475e0299393e3b9ae64d7b8748cac5dcd7b9799817e88667fec447ac3f153, 36, 124.86, 11, 1360
1d3fec2f1517a0c12bc2732288269e8a11a5255976c3c0b54ff586f30bd1eee6, 3dcf6ce2e01f61cb2e15d193a90f9079f83a245191f00ca4699a0dbbc682f444, 22, 133.76, 12, 1424
da4941e0cfee3f6b75ebdf288d69ab6b38debba96db57ddf3f4bcd8f99b04bd1, 1d3fec2f1517a0c12bc2732288269e8a11a5255976c3c0b54ff586f30bd1eee6, 47, 149.27, 13, 1408
7c89140f85a4fd760e04ca12773ff76f873d71e381f6b0a58de44c59937a1a42, 3dcf6ce2e01f61cb2e15d193a90f9079f83a245191f00ca4699a0dbbc682f444, 17, 151.56, 12, 1264
