BlockId, ParentId, creatorId, Arrival Time, Depth, Block-Size
be819d3af9721464f5b7dc5af7b91f3fea806ed5112e25d16fce17b5c4e3511d, -1, -1, 0.00, 0, 0
8579846ef74c7013a28d976fa500bef7b79ee2a5bd2a710991e1a990ab7e4400, be819d3af9721464f5b7dc5af7b91f3fea806ed5112e25d16fce17b5c4e3511d, 18, 12.10, 1, 8
664c0ebc97d53e02a478a32c04c121f1f2b6c73e1c4b7624c7674552e881485b, 8579846ef74c7013a28d976fa500bef7b79ee2a5bd2a710991e1a990ab7e4400, 15, 17.04, 2, 8
31af57094e125f9e3908dd009d2d8346149fcc88d2571a2823adacdf8f339f63, 8579846ef74c7013a28d976fa500bef7b79ee2a5bd2a710991e1a990ab7e4400, 34, 20.32, 2, 16
29767861790fc2a88088b4f2a0999eb46401b569ebfc82b4310b187045cc63b6, 664c0ebc97d53e02a478a32c04c121f1f2b6c73e1c4b7624c7674552e881485b, 13, 51.08, 3, 80
050629fa587c5547f935d50c7fa76617f3e95e5bff553c7ce00da1fe81c5947c, 29767861790fc2a88088b4f2a0999eb46401b569ebfc82b4310b187045cc63b6, 6, 72.58, 4, 96
66b215ec366af1b8df6955695fb421501cf410d9338a417444e47a3a480e0a35, 29767861790fc2a88088b4f2a0999eb46401b569ebfc82b4310b187045cc63b6, 0, 73.51, 4, 32
946975adc8c0f125e1bd35839179e63feff6a1dc3a31f0f0236ae8e544df3d3f, 050629fa587c5547f935d50c7fa76617f3e95e5bff553c7ce00da1fe81c5947c, 45, 77.44, 5, 152
1cde653000fa35126b4b70a07da00ef8e1d27a84c6a7efdd08f5ae108039c125, 946975adc8c0f125e1bd35839179e63feff6a1dc3a31f0f0236ae8e544df3d3f, 32, 92.83, 6, 184
3667227982cb71f37acd3af3316508cc18afc4f8cb841c7c61476e4a3740488e, 946975adc8c0f125e1bd35839179e63feff6a1dc3a31f0f0236ae8e544df3d3f, 41, 93.21, 6, 144
9dffe0348cafad237989d3273b82f90b6b704bd62ff61dc2a2ea68a3e73e05ce, 1cde653000fa35126b4b70a07da00ef8e1d27a84c6a7efdd08f5ae108039c125, 8, 106.60, 7, 576
cfda6c1bc01544d2f544cf7e28b458f40443e4341bac81e7f9939a0a61ee317c, 9dffe0348cafad237989d3273b82f90b6b704bd62ff61dc2a2ea68a3e73e05ce, 35, 118.03, 8, 1232
5336f6badbc4b95b3893ea1c08c893adefbb0e42c44b3efd96d599361c80af7b, cfda6c1bc01544d2f544cf7e28b458f40443e4341bac81e7f9939a0a61ee317c, 46, 124.42, 9, 1736
aaaaa0e78d6d1a0f5e4b3bdbf17f98bcb9dff5397d06f3f66a25b718b71ac71b, 5336f6badbc4b95b3893ea1c08c893adefbb0e42c44b3efd96d599361c80af7b, 48, 151.46, 10, 1552
112b95c8d5769d1e6d69dfaaa8d5b76f9474a2d759ea495fd88cca465c2c04a3, 5336f6badbc4b95b3893ea1c08c893adefbb0e42c44b3efd96d599361c80af7b, 11, 152.20, 10, 1568
bcd8161bee0ca87fe856bcd0e25a47e4e2571cc63ce6bc71a6c2d5044103c80d, aaaaa0e78d6d1a0f5e4b3bdbf17f98bcb9dff5397d06f3f66a25b718b71ac71b, 45, 168.79, 11, 1648
a8dfe4aa64adf4a5928660b093c780de02ab4d0bac7fe190ee873b67e5e36adc, aaaaa0e78d6d1a0f5e4b3bdbf17f98bcb9dff5397d06f3f66a25b718b71ac71b, 34, 174.84, 11, 1496
a6cf47a12431ab6f90e6ae716d5f2d4178ab8af870f9fab95b5d8575c5e17812, bcd8161bee0ca87fe856bcd0e25a47e4e2571cc63ce6bc71a6c2d5044103c80d, 20, 188.15, 12, 1136
949a02456b2b70c2134fb3c1748d71a1cbf5d0462b226891be1d99d0fc776ddd, bcd8161bee0ca87fe856bcd0e25a47e4e2571cc63ce6bc71a6c2d5044103c80d, 9, 190.22, 12, 1176
c7aaf5f68c444d853ceb2b060feab6116f0290aa17f1be770a41105b2abf8d65, 949a02456b2b70c2134fb3c1748d71a1cbf5d0462b226891be1d99d0fc776ddd, 39, 195.72, 13, 1368
ba4c44ada9c6aac0547e684ed14200d324206cb5ea0d54b265745fa9ed9108a5, c7aaf5f68c444d853ceb2b060feab6116f0290aa17f1be770a41105b2abf8d65, 45, 198.56, 14, 1248
88d03699e852ffbd221a45e5e911235067c0fab0c29cdb43a2b0ec910cdfcddf, ba4c44ada9c6aac0547e684ed14200d324206cb5ea0d54b265745fa9ed9108a5, 40, 214.95, 15, 1288
dadf80a6f95457f5c543171143edd307a77517bbde3ac672bddcf3663cc40c39, 88d03699e852ffbd221a45e5e911235067c0fab0c29cdb43a2b0ec910cdfcddf, 22, 236.81, 16, 1432
f863d9cab40ddf48854dd76ade309a604bdfc7270edff4178a57465f94ac6bbd, dadf80a6f95457f5c543171143edd307a77517bbde3ac672bddcf3663cc40c39, 13, 242.02, 17, 1424
4b0a959ca7067cd4ffc0d11d323e0a2b8914c2a4c658c99056f689630b95d1ab, f863d9cab40ddf48854dd76ade309a604bdfc7270edff4178a57465f94ac6bbd, 9, 243.72, 18, 1464
2556db3b0208b6ec593e2c2d80a154d131a6a10efcc6da235ad6a7d25d936455, 4b0a959ca7067cd4ffc0d11d323e0a2b8914c2a4c658c99056f689630b95d1ab, 19, 246.70, 19, 1608
099b12a5d8209df3e65897c71132b3d6a241785a82b45304082bdedb97fc4743, 2556db3b0208b6ec593e2c2d80a154d131a6a10efcc6da235ad6a7d25d936455, 21, 285.11, 20, 1544
221994ffa4ddc686789e8296a3259d0755b6bb97173f51e0bb057c6834669a76, 099b12a5d8209df3e65897c71132b3d6a241785a82b45304082bdedb97fc4743, 9, 294.97, 21, 1664
1d36c968d2e062b3739d8a3bc56013d2995575567606b05aaadfaed37e28c76b, 221994ffa4ddc686789e8296a3259d0755b6bb97173f51e0bb057c6834669a76, 11, 299.31, 22, 1552
3522c5b2e32f2f36a536d50acc40065a547fdb225428e6666c4272a8f1e097f7, 1d36c968d2e062b3739d8a3bc56013d2995575567606b05aaadfaed37e28c76b, 48, 322.36, 23, 1360
7134cbc7c5181a1dd4a6d0efac44a520a396cb540d35d1c8c91e79649414bb31, 3522c5b2e32f2f36a536d50acc40065a547fdb225428e6666c4272a8f1e097f7, 31, 326.65, 24, 1568
e97ff37b29d3a249eccc757bd8a8f286a2ab2f2abfa917095c3660f4bd8c05c3, 7134cbc7c5181a1dd4a6d0efac44a520a396cb540d35d1c8c91e79649414bb31, 33, 328.45, 25, 1384
f3cf890a05b0239a28dbf549952840b07db78291b1c57f2096d3342d6e0a32db, 7134cbc7c5181a1dd4a6d0efac44a520a396cb540d35d1c8c91e79649414bb31, 0, 330.86, 25, 1360
