PeerId,CPUType,NetworkType
0,0,0
1,1,0
2,1,1
3,0,1
4,0,1
5,1,0
6,1,1
7,0,1
8,0,1
9,1,0
10,1,0
11,0,0
12,1,1
13,1,1
14,1,1
15,0,1
16,1,0
17,1,0
18,0,1
19,0,0
20,1,1
21,1,0
22,1,0
23,1,0
24,0,1
25,1,1
26,0,1
27,0,1
28,1,0
29,1,0
30,1,0
31,1,0
32,1,1
33,1,1
34,0,1
35,1,0
36,1,1
37,1,1
38,0,1
39,1,1
40,0,1
41,1,0
42,0,0
43,1,1
44,0,1
45,0,0
46,1,0
47,0,1
48,0,1
49,0,1
50,0,0
51,1,0
52,0,1
53,0,0
54,1,0
55,0,0
56,1,0
57,1,1
58,1,1
59,1,1
60,1,1
61,0,0
62,1,1
63,1,1
64,1,1
65,0,0
66,1,0
67,1,1
68,0,1
69,1,1
70,1,1
71,1,1
72,1,0
73,1,1
74,1,1
75,0,1
76,1,1
77,0,1
78,1,1
79,0,0
80,0,1
81,0,1
82,0,1
83,0,0
84,0,1
85,0,0
86,1,0
87,1,1
88,1,0
89,0,1
90,1,1
91,1,0
92,1,1
93,1,0
94,1,1
95,1,0
96,1,1
97,1,0
98,0,1
99,0,1
