BlockId, ParentId, creatorId, Arrival Time, Cpu-Type, Network-Type, Block-Size
0, -1, -1, 0.00, 1, 1, 8
13, 0, 12, 0.92, 1, 1, 8
46, 13, 14, 3.77, 1, 1, 8
30, 13, 8, 4.10, 1, 1, 8
62, 46, 19, 4.51, 1, 0, 24
65, 46, 5, 4.82, 1, 1, 24
68, 30, 22, 5.32, 1, 1, 24
100, 62, 11, 6.13, 1, 0, 24
107, 100, 8, 7.92, 1, 1, 112
130, 107, 24, 10.28, 1, 1, 184
153, 130, 22, 12.88, 1, 1, 432
174, 130, 14, 13.50, 1, 1, 432
195, 153, 11, 16.35, 1, 0, 640
206, 195, 8, 16.60, 1, 1, 808
201, 195, 11, 16.72, 1, 0, 840
202, 201, 11, 17.18, 1, 0, 656
250, 206, 0, 17.58, 1, 0, 880
267, 202, 3, 18.29, 1, 0, 840
257, 250, 0, 19.53, 1, 0, 720
297, 267, 7, 20.14, 1, 0, 800
276, 267, 3, 20.49, 1, 0, 888
301, 297, 7, 21.36, 1, 0, 656
303, 297, 22, 21.81, 1, 1, 720
339, 303, 17, 22.36, 0, 0, 744
323, 297, 12, 22.36, 1, 1, 728
365, 339, 6, 26.14, 1, 0, 720
389, 365, 7, 27.93, 1, 0, 808
401, 389, 7, 27.96, 1, 0, 792
383, 365, 8, 28.30, 1, 1, 792
377, 365, 22, 28.34, 1, 1, 824
440, 401, 3, 31.68, 1, 0, 752
452, 440, 1, 31.87, 0, 0, 768
474, 452, 21, 33.09, 0, 1, 776
503, 474, 3, 33.18, 1, 0, 672
486, 452, 8, 33.44, 1, 1, 736
477, 440, 6, 33.50, 1, 0, 784
530, 486, 0, 34.19, 1, 0, 768
535, 503, 23, 34.42, 0, 1, 656
565, 535, 5, 34.68, 1, 1, 736
556, 535, 22, 34.99, 1, 1, 688
564, 535, 6, 35.23, 1, 0, 696
585, 535, 14, 35.47, 1, 1, 720
592, 556, 15, 35.76, 1, 1, 680
614, 592, 3, 36.01, 1, 0, 608
629, 614, 19, 39.31, 1, 0, 608
645, 614, 12, 39.92, 1, 1, 696
651, 629, 19, 41.29, 1, 0, 840
672, 645, 6, 41.65, 1, 0, 840
691, 672, 5, 41.86, 1, 1, 808
713, 691, 16, 42.84, 1, 1, 664
722, 691, 15, 43.25, 1, 1, 664
733, 713, 24, 44.70, 1, 1, 704
734, 713, 10, 45.00, 0, 0, 688
763, 734, 12, 47.40, 1, 1, 728
783, 763, 24, 48.30, 1, 1, 728
808, 783, 17, 49.78, 0, 0, 672
840, 808, 6, 50.90, 1, 0, 768
862, 840, 7, 51.49, 1, 0, 680
890, 862, 5, 52.94, 1, 1, 696
895, 862, 15, 53.00, 1, 1, 672
876, 862, 16, 53.34, 1, 1, 640
913, 876, 7, 54.25, 1, 0, 664
927, 913, 16, 54.74, 1, 1, 680
923, 895, 11, 54.78, 1, 0, 736
934, 927, 7, 55.23, 1, 0, 648
976, 934, 22, 56.48, 1, 1, 744
1018, 976, 12, 59.18, 1, 1, 856
1030, 1018, 20, 60.01, 0, 1, 808
1020, 976, 11, 60.22, 1, 0, 800
1049, 1018, 14, 60.66, 1, 1, 856
1072, 1030, 19, 60.67, 1, 0, 768
1076, 1072, 3, 62.73, 1, 0, 576
1122, 1076, 6, 66.34, 1, 0, 968
1127, 1122, 18, 66.69, 1, 1, 1000
1172, 1127, 11, 68.42, 1, 0, 792
1189, 1172, 3, 68.95, 1, 0, 824
1179, 1172, 8, 69.14, 1, 1, 744
1192, 1172, 5, 69.16, 1, 1, 792
1207, 1189, 3, 71.14, 1, 0, 736
1238, 1207, 22, 72.62, 1, 1, 912
1249, 1238, 22, 72.63, 1, 1, 760
1247, 1207, 6, 73.01, 1, 0, 912
1251, 1207, 0, 73.23, 1, 0, 856
1283, 1249, 16, 74.01, 1, 1, 680
1301, 1283, 19, 75.88, 1, 0, 760
1323, 1301, 3, 76.48, 1, 0, 872
1340, 1301, 22, 77.40, 1, 1, 864
1355, 1340, 24, 78.18, 1, 1, 704
1353, 1323, 14, 78.44, 1, 1, 664
1395, 1355, 0, 80.26, 1, 0, 800
1403, 1395, 18, 81.33, 1, 1, 768
1399, 1395, 16, 81.45, 1, 1, 728
1435, 1403, 17, 81.90, 0, 0, 664
1464, 1435, 12, 82.54, 1, 1, 664
1453, 1435, 22, 82.68, 1, 1, 608
1459, 1435, 6, 82.86, 1, 0, 624
1482, 1464, 8, 83.64, 1, 1, 616
1493, 1464, 0, 84.12, 1, 0, 640
1490, 1464, 16, 84.25, 1, 1, 632
1514, 1490, 16, 84.83, 1, 1, 664
1535, 1514, 3, 85.10, 1, 0, 760
1528, 1514, 24, 85.65, 1, 1, 760
1545, 1528, 24, 88.15, 1, 1, 600
1561, 1535, 14, 88.59, 1, 1, 568
1569, 1528, 11, 88.84, 1, 0, 680
1583, 1545, 5, 90.38, 1, 1, 824
1580, 1545, 6, 90.56, 1, 0, 824
1617, 1583, 0, 91.53, 1, 0, 960
1620, 1617, 0, 92.46, 1, 0, 648
1636, 1617, 15, 93.05, 1, 1, 696
1653, 1620, 7, 93.16, 1, 0, 704
1682, 1653, 19, 93.90, 1, 0, 760
1711, 1682, 18, 95.65, 1, 1, 784
1726, 1711, 8, 95.83, 1, 1, 736
1764, 1726, 7, 97.73, 1, 0, 688
1779, 1764, 6, 99.58, 1, 0, 848
